STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT08,WT09
USW00013891,"KNOXVILLE AIRPORT, TN US",1/1/2019,5.14,,0.03,0,0,58,60,46,230,230,18.1,23,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/2/2019,3.36,,0.08,0,0,47,49,44,300,300,14.1,18.1,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/3/2019,3.13,,0.5,0,0,49,51,47,350,350,8.9,10.1,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/4/2019,10.51,,0.49,0,0,51,63,45,240,240,45,57.9,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/5/2019,9.62,,0.02,0,0,46,54,39,230,230,21,25.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/6/2019,1.34,,0,0,0,46,62,34,360,190,6.9,8.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/7/2019,8.05,,0,0,0,52,70,42,220,220,29.1,35.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/8/2019,13.87,,0,0,0,59,65,47,230,240,25.9,34,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/9/2019,11.18,,0,0,0,45,47,31,270,270,23,27.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/10/2019,6.93,,0,0,0,32,37,26,20,10,15,19,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/11/2019,6.71,,0,0,0,31,45,23,30,30,15,17,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/12/2019,4.92,,0.44,0,0,42,47,39,70,80,12.1,13,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/13/2019,6.26,,0.17,0,0,41,43,40,220,230,14.1,17,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/14/2019,3.8,,0.03,0,0,39,41,35,290,290,12.1,13,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/15/2019,4.7,,0,0,0,36,38,33,210,210,8.9,11,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/16/2019,4.92,,0,0,0,35,40,32,280,230,10.1,13,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/17/2019,4.7,,0.25,0,0,37,44,32,250,320,10.1,13,1,,,1,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/18/2019,4.25,,0,0,0,46,52,43,250,240,12.1,13,1,1,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/19/2019,8.28,,1.58,0,0,45,57,40,240,250,25.9,35.1,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/20/2019,12.3,,0,0,0,38,50,20,270,280,28,35.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/21/2019,11.18,,0,0,0,21,29,14,40,30,19.9,21.9,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/22/2019,3.8,,0,0,0,28,47,18,30,40,8.9,12.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/23/2019,10.96,,0.94,0,0,49,62,38,180,160,33.1,44.1,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/24/2019,9.62,,0.16,0,0,40,50,28,280,290,23,29.1,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/25/2019,6.49,,0,0,0,32,40,26,280,270,15,19.9,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/26/2019,8.28,,0,0,0,33,44,26,230,230,16.1,23,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/27/2019,5.14,,0,0,0,38,50,31,240,220,13,15,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/28/2019,8.72,,0,0,0,41,56,27,230,230,30,35.1,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/29/2019,10.07,,0.29,1.8,2,38,48,18,290,290,19.9,28,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/30/2019,11.63,,0,0,1.2,24,30,18,250,250,23.9,30,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",1/31/2019,2.24,,0,0,0,26,40,20,220,220,8.9,12.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/1/2019,3.13,,0,0,0,34,44,29,50,10,8.9,11,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/2/2019,3.13,,0,0,0,45,63,38,30,30,12.1,13,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/3/2019,2.68,,0,0,0,47,64,33,260,290,12.1,14.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/4/2019,0.67,,0.03,0,0,48,60,35,290,250,6.9,10.1,1,1,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/5/2019,1.79,,0,0,0,57,70,51,220,,8.9,,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/6/2019,10.96,,0.3,0,0,60,70,52,210,210,23.9,32,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/7/2019,17.22,,0.06,0,0,69,77,62,280,290,28,38.9,1,,,,,1,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/8/2019,10.29,,0.41,0,0,52,62,32,290,300,28,35.1,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/9/2019,11.18,,0,0,0,35,46,28,40,40,17,23,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/10/2019,1.34,,0.44,0,0,38,41,34,360,30,8.1,11,1,,,1,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/11/2019,2.91,,0.41,0,0,41,49,38,60,20,6.9,8.9,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/12/2019,9.84,,1.37,0,0,52,65,39,280,260,23.9,32,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/13/2019,9.62,,0,0,0,42,49,33,240,250,21,27.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/14/2019,6.26,,0,0,0,42,62,28,210,210,21.9,28,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/15/2019,11.86,,0.32,0,0,56,60,45,210,220,23,28,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/16/2019,8.05,,0.4,0,0,45,48,40,360,360,17,21,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/17/2019,3.58,,1.16,0,0,44,51,40,190,300,13,19.9,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/18/2019,10.74,,0.15,0,0,47,51,33,260,250,21.9,31.1,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/19/2019,8.5,,1.04,0,0,35,40,31,40,30,15,18.1,1,,1,1,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/20/2019,4.7,,0.66,0,0,44,50,40,270,270,18.1,21.9,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/21/2019,5.59,,0.34,0,0,49,51,47,40,360,12.1,14.1,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/22/2019,9.17,,0.35,0,0,49,51,47,30,30,16.1,19.9,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/23/2019,6.71,,5.08,0,0,51,53,50,290,280,21,28,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/24/2019,16.33,,0.31,0,0,54,59,41,240,250,32,44.1,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/25/2019,4.03,,0,0,0,43,54,33,250,20,13,17,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/26/2019,2.01,,0,0,0,45,63,32,290,290,12.1,15,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/27/2019,5.37,,0,0,0,54,69,44,240,250,19.9,23,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",2/28/2019,3.13,,0.25,0,0,55,58,51,360,10,13,14.1,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",3/1/2019,6.04,,0.45,0,0,53,56,46,280,290,15,21,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",3/2/2019,6.04,,0,0,0,47,55,43,350,360,16.1,21,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",3/3/2019,5.82,,1.53,0,0,44,46,36,30,360,16.1,19.9,1,,,,,,
